code	prefLabel	broader	definition
20000156	avalanche	http://cv.iptc.org/newscodes/mediatopic/20000155	A sudden fall of snow, ice, rock, or mud down the side of a mountain
20000157	meteorological disaster	http://cv.iptc.org/newscodes/mediatopic/20000151	A weather-related disaster
20000158	windstorms	http://cv.iptc.org/newscodes/mediatopic/20000157	A storm with very strong wind but little or no rain or snow
20000159	volcanic eruption	http://cv.iptc.org/newscodes/mediatopic/20000151	A rupture in the crust of the Earth allowing molten material to escape to the surface
20000160	emergency incident	http://cv.iptc.org/newscodes/mediatopic/03000000	A sudden, unexpected event that requires immediate action to prevent serious consequences
20000161	structural failure	http://cv.iptc.org/newscodes/mediatopic/20000139	The unexpected collapse of a building, bridge or other structure
20000162	transport incident	http://cv.iptc.org/newscodes/mediatopic/20000160	An incident involving one or more vehicles
20000163	air and space incident	http://cv.iptc.org/newscodes/mediatopic/20000162	Incident involving craft in air or space.
20000164	maritime incident	http://cv.iptc.org/newscodes/mediatopic/20000162	Incident involving marine vessels.
20000165	railway incident	http://cv.iptc.org/newscodes/mediatopic/20000162	Incident involving trains.
20000166	road incident	http://cv.iptc.org/newscodes/mediatopic/20000162	Incident involving road vehicles.
20000167	emergency planning	http://cv.iptc.org/newscodes/mediatopic/03000000	Planning for actions to deal with sudden, unplanned events
20000168	emergency response	http://cv.iptc.org/newscodes/mediatopic/03000000	The planning and efforts made by people and organizations to help victims of a sudden, unplanned event, natural disaster or crisis
20000170	business information	http://cv.iptc.org/newscodes/mediatopic/04000000	Information about individual business entities, including companies, corporations, charities
20000171	business finance	http://cv.iptc.org/newscodes/mediatopic/20000170	A business entity's finances
20000172	accounting and audit	http://cv.iptc.org/newscodes/mediatopic/20001365	Changes regarding applicable accounting rules and the audit of accounting
20000173	analysts comment	http://cv.iptc.org/newscodes/mediatopic/20000171	Stock analyst comments, analysis and recommendations.
20000174	bankruptcy	http://cv.iptc.org/newscodes/mediatopic/20000183	News about actual bankruptcy filings.
20000175	stock buyback	http://cv.iptc.org/newscodes/mediatopic/20000396	Corporate actions in which companies buy back their own shares
20000176	credit rating	http://cv.iptc.org/newscodes/mediatopic/20001365	Formal statements by certain rating agencies on the investment risk of a company or enterprise
20000177	corporate dividends	http://cv.iptc.org/newscodes/mediatopic/20000396	Distribution of company profits to shareholders via dividend payments
20000178	corporate earnings	http://cv.iptc.org/newscodes/mediatopic/20001365	Announcements and discussions of corporate earnings
20000179	earnings forecast	http://cv.iptc.org/newscodes/mediatopic/20001365	Analyst prediction of company earnings.
20000180	financial statement	http://cv.iptc.org/newscodes/mediatopic/20001365	Formal statements about the company financials typically delivered annually or quarterly
20000181	proxy filing	http://cv.iptc.org/newscodes/mediatopic/20000199	Filings with regulatory agencies of proxy statements for upcoming shareholder votes.
20000182	financially distressed company	http://cv.iptc.org/newscodes/mediatopic/20000183	Indications that a company is financially distressed but not having filed for bankruptcy yet
20000183	business financing	http://cv.iptc.org/newscodes/mediatopic/20000170	The financing, capital structuring, and investment decisions of a business
20000184	restructuring and recapitalization	http://cv.iptc.org/newscodes/mediatopic/20000183	The sale of company units, splits of existing companies into units under a holding company, etc.
20000185	shareholder activity	http://cv.iptc.org/newscodes/mediatopic/20000199	Actions taken by owners of one or more shares of a company, including shareholder activism
20000186	stock activity	http://cv.iptc.org/newscodes/mediatopic/20000396	Announcements of major stock events: splits, block trades, new highs or lows, etc.
20000187	stock flotation	http://cv.iptc.org/newscodes/mediatopic/20000396	The issuing of stock shares to the public for the first time, also called an Initial Public Offering (IPO)
20000188	human resources	http://cv.iptc.org/newscodes/mediatopic/20000170	People working for a business and how they are managed
20000189	layoffs and downsizing	http://cv.iptc.org/newscodes/mediatopic/20000188	Planned or actual reductions in the labor force.
20000190	executive officer	http://cv.iptc.org/newscodes/mediatopic/20000188	Company executive officers including appointments and changes
20000191	stock option	http://cv.iptc.org/newscodes/mediatopic/20000394	An agreement to either buy or sell a stock when it meets a certain price, sometimes used as an incentive for employees and officers of a company
20000192	business strategy and marketing	http://cv.iptc.org/newscodes/mediatopic/20000170	Planning the direction of a company and selling its products and services to achieve the strategy
20000193	annual and special corporate meeting	http://cv.iptc.org/newscodes/mediatopic/20000199	News surrounding company reports and annual or special corporate meetings
20000194	annual report	http://cv.iptc.org/newscodes/mediatopic/20000199	Availability or contents of annual company reports.
20000195	board of directors	http://cv.iptc.org/newscodes/mediatopic/20000199	Appointments to or changes in the board of directors for a company.
20000196	commercial contract	http://cv.iptc.org/newscodes/mediatopic/20000192	Contracts regarding commercial activities
20000197	company spin-off	http://cv.iptc.org/newscodes/mediatopic/20001366	The creation of new companies being spun off from existing companies.
20000198	economic globalization	http://cv.iptc.org/newscodes/mediatopic/20000192	Doing business around the world
20000199	business governance	http://cv.iptc.org/newscodes/mediatopic/20000170	The rules, practices, and processes used to oversee and manage a company
20000200	joint venture	http://cv.iptc.org/newscodes/mediatopic/20001366	Two or more companies agreeing on a venture.
20000201	leveraged buyout	http://cv.iptc.org/newscodes/mediatopic/20001366	Acquiring control over a company by buying its shares with borrowed money.
20000202	licensing agreement	http://cv.iptc.org/newscodes/mediatopic/20000192	The document defining the terms for licensing intellectual property
20000203	management buyout	http://cv.iptc.org/newscodes/mediatopic/20001366	Acquiring control over a company by the management buying its shares.
20000204	merger or acquisition	http://cv.iptc.org/newscodes/mediatopic/20001366	Two or more companies forming a new company mergers, takeovers or acquisitions.
20000205	new product or service	http://cv.iptc.org/newscodes/mediatopic/20000192	The introduction of products or services to the market
